nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
987,1878,image,,Newsletter-Red-Lion,4,1,1242926133,1242926133,0,1,0,0,0,0
988,1879,image,,Newsletter-Volcanoes,4,1,1242926154,1242926154,0,1,0,0,0,0
1046,1950,image,,EZ-Orchards,4,1,1243358319,1243358319,0,1,0,0,0,0
1047,1951,image,,EZ-Orchards,4,1,1243358320,1243358320,0,1,0,0,0,0
1049,1953,image,,MaPS-Logo,4,1,1243359753,1243359753,0,1,0,0,0,0
1051,1961,image,,Chamberlain-Financial,4,1,1243361633,1243361633,0,1,0,0,0,0
1055,1965,image,,Garmin,4,1,1243362228,1243362228,0,1,0,0,0,0
1056,1967,image,,Salem-Chamber-Orchestra,4,1,1243363087,1243363087,0,1,0,0,0,0
1076,2011,image,,Keizer-Ren-Inn-Banquet-Room,4,1,1244070308,1244070308,0,1,0,0,0,0
1126,2103,image,,Group-Tours-Landing-Page-Image,4,1,1244675343,1244675343,0,1,0,0,0,0
1157,2162,image,,WVEC-Small,4,1,1245345280,1245345280,0,1,0,0,0,0
1159,2166,image,,Fresh-To-You-Small,4,1,1245365804,1245365804,0,1,0,0,0,0
1161,2168,image,,Cold-Stone-Small,4,1,1245366438,1245366438,0,1,0,0,0,0
1164,2174,image,,Wooden-Nickel-CC-small,4,1,1245371429,1245371429,0,1,0,0,0,0
1165,2175,image,,North-Santiam-Raft-small,4,1,1245371867,1245371867,0,1,0,0,0,0
1204,2259,image,,Wooden-Shoe-Small,4,1,1245806352,1245806352,0,1,0,0,0,0
1205,2262,image,,Grand-Theater-Ballroom-Small,4,1,1245873957,1245873957,0,1,0,0,0,0
1254,2341,image,,Jim-Bernau-Bio-Pic,4,1,1246310655,1246310655,0,1,0,0,0,0
1256,2344,image,,Roger-Tofte-Bio-Pic,4,1,1246310796,1246310796,0,1,0,0,0,0
1257,2360,image,,Media-Salems-History,4,1,1246320140,1246320140,0,1,0,0,0,0
1258,2361,image,,Media-Riverfront-Park,4,1,1246320171,1246320171,0,1,0,0,0,0
1259,2362,image,,Media-Family,4,1,1246320202,1246320202,0,1,0,0,0,0
1260,2363,image,,Media-Arts,4,1,1246320228,1246320228,0,1,0,0,0,0
1261,2364,image,,Media-Native-American-Influence,4,1,1246320261,1246320261,0,1,0,0,0,0
1262,2365,image,,Media-Fun-Activities,4,1,1246320290,1246320290,0,1,0,0,0,0
1263,2366,image,,Media-Section-Page,4,1,1246320311,1246320311,0,1,0,0,0,0
1264,2367,image,,Media-Weird,4,1,1246373132,1246373132,0,1,0,0,0,0
